"LUGAR";"MES";"ANIO";"HORA";"HORA_C";"IMP_BOL";"PUNTOS";"DENUNCIANTE";"CALIFICACION";"CAT";"HECHO.BOL";"VEL_LIMITE";"VEL_CIRCULA";"lat";"lon"
"SANCHIDRIAN-MANUEL GARCIA, MADRID, SPAIN";12;2015;16.15;16;90;0;"POLICIA MUNICIPAL";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR EN LUGAR PROHIBIDO DEBIDAMENTE SEÑALIZADO.";NA;NA;40.4167754;-3.7037902
"JERONIMO DE LA QUINTANA 10, MADRID, SPAIN";1;2016;19.37;19;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4315068;-3.7048184
"SEGOVIA 16, MADRID, SPAIN";6;2015;13.04;13;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4138092;-3.7113689
"AYALA 66, MADRID, SPAIN";4;2015;10.53;10;30;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA,REBASANDO EL TIEMPO MÁXIMO";NA;NA;40.4274246;-3.680535
"PROF. MARTIN ALM. BASCH 1, MADRID, SPAIN";2;2015;14.05;14;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR EN LUGAR PROHIBIDO DEBIDAMENTE SEÑALIZADO.";NA;NA;40.4167754;-3.7037902
"MAYOR 77, MADRID, SPAIN";11;2015;9.38;9;90;0;"AGENTES DE MOVILIDAD";"LEVE";"OTROS";"NO RESPETAR LAS SEÑALES EN UNA VÍA DE CIRCULACIÓN RESTRINGIDA O RESERVADA.";NA;NA;40.41501;-3.71204
"ALCANTARA 8, MADRID, SPAIN";2;2015;20.13;20;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.426484;-3.6738447
"M-30 XC K 10,300 CR3, MADRID, SPAIN";12;2015;14.5;14;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;83;40.4167754;-3.7037902
"ARAUCARIA 2, MADRID, SPAIN";10;2015;11.28;11;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4592871;-3.7007192
"SAN JUAN DE LA CRUZ 10, MADRID, SPAIN";8;2015;14.3;14;30;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA,REBASANDO EL TIEMPO MÁXIMO";NA;NA;40.4420195;-3.6936276
"CL LAGASCA 30, MADRID, SPAIN";1;2016;13.46;13;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR EN LUGAR PROHIBIDO DEBIDAMENTE SEÑALIZADO.";NA;NA;40.4235578;-3.6854724
"M-30 XC K 16,530 CR3, MADRID, SPAIN";8;2015;0.13;0;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;76;40.4167754;-3.7037902
