var_provincia;var_sexo;var_tipocontrato;var_grupo_cnae;var_tipojornada;var_antiguedad;salario_bruto_anual_medio;factor_elev
1;mujer;Indefinido;P;Tiempo completo;Más de diez años;39154.19416;1072.34
1;mujer;Indefinido;Q;Tiempo completo;De cinco a diez años;36523.46634;940.17
1;mujer;Indefinido;Q;Tiempo completo;De dos a cinco años;30930.0915;676.78
1;mujer;Indefinido;Q;Tiempo completo;Más de diez años;33869.0748;1450.72
1;mujer;Indefinido;Q;Tiempo completo;Menos de dos años;26657.1167;187.04
1;mujer;Indefinido;Q;Tiempo parcial;De cinco a diez años;19136.17336;98.28
1;mujer;Indefinido;Q;Tiempo parcial;De dos a cinco años;7112.743433;246.82
1;mujer;Indefinido;Q;Tiempo parcial;Más de diez años;10513.58169;153.69
1;mujer;Indefinido;Q;Tiempo parcial;Menos de dos años;8026.339212;243.38
1;mujer;Indefinido;R;Tiempo completo;Más de diez años;28909.01667;54.87
1;mujer;Indefinido;R;Tiempo completo;Menos de dos años;26937.64793;32.25
1;mujer;Indefinido;R;Tiempo parcial;De cinco a diez años;13253.57238;131.69
1;mujer;Indefinido;R;Tiempo parcial;De dos a cinco años;11365.44185;51.59
1;mujer;Indefinido;R;Tiempo parcial;Menos de dos años;4101.270546;158.43
1;mujer;Indefinido;S;Tiempo completo;De cinco a diez años;17773.96;37.23
1;mujer;Indefinido;S;Tiempo completo;Más de diez años;15871.91391;424.44
1;mujer;Indefinido;S;Tiempo completo;Menos de dos años;13736.11;105.1
1;mujer;Indefinido;S;Tiempo parcial;De dos a cinco años;6904.8;76.6
1;mujer;Indefinido;S;Tiempo parcial;Menos de dos años;6804.711221;214.24
1;mujer;Temporal;C;Tiempo completo;De cinco a diez años;33505.16;64.69
1;mujer;Temporal;C;Tiempo completo;De dos a cinco años;33551.075;128.64
1;mujer;Temporal;C;Tiempo completo;Más de diez años;14778.97688;17.46
1;mujer;Temporal;C;Tiempo completo;Menos de dos años;18542.55243;122.61
1;mujer;Temporal;C;Tiempo parcial;De dos a cinco años;16453.35;17.87
1;mujer;Temporal;C;Tiempo parcial;Más de diez años;18881.32142;151.91
1;mujer;Temporal;C;Tiempo parcial;Menos de dos años;7532.411987;23.43
1;mujer;Temporal;E;Tiempo completo;De cinco a diez años;18821.80342;105.37
1;mujer;Temporal;E;Tiempo completo;De dos a cinco años;18419.12;48.21
1;mujer;Temporal;F;Tiempo completo;De cinco a diez años;27712.485;27.32
1;mujer;Temporal;F;Tiempo completo;Menos de dos años;25576.58883;71.7
1;mujer;Temporal;G;Tiempo parcial;Más de diez años;5937.68;60.61
1;mujer;Temporal;G;Tiempo parcial;Menos de dos años;11348.76629;26.47
1;mujer;Temporal;H;Tiempo completo;De cinco a diez años;33105.96;21.07
1;mujer;Temporal;H;Tiempo completo;Menos de dos años;10931.26775;23.86
1;mujer;Temporal;I;Tiempo completo;Menos de dos años;17909.89727;45.12
1;mujer;Temporal;I;Tiempo parcial;Menos de dos años;10519.79956;1892.21
1;mujer;Temporal;J;Tiempo completo;De cinco a diez años;37977.66;11.56
1;mujer;Temporal;J;Tiempo completo;De dos a cinco años;14540.69;68.62
1;mujer;Temporal;J;Tiempo completo;Menos de dos años;30482.84;17.25
1;mujer;Temporal;J;Tiempo parcial;De cinco a diez años;10659.05;34.31
1;mujer;Temporal;J;Tiempo parcial;De dos a cinco años;10307.3;34.31
